TestDataID1,TestDataID2,TestDataID3,MaxDepth,NEstimators,LearningRate,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
18,21,26,5,200,0.05,0.99943141,-21.79750145,ATS0dv,HOMO,Chi0,Kappa1,SpAbs_A,LUMO,MolWt,FractionCSP3,PEOE_VSA1,MinPartialCharge
18,21,27,3,100,0.1,0.998570975,-1.151010278,ATS0dv,LUMO,HOMO,SpAbs_A,BalabanJ,FractionCSP3,HeavyAtomMolWt,Eads100,TPSA,Kappa1
18,21,28,5,200,0.05,0.999502473,-14.3063963,ATS0dv,SpAbs_A,HOMO,Kappa1,LUMO,PEOE_VSA1,FractionCSP3,Chi0,MolWt,TPSA
18,21,29,7,300,0.05,0.999992646,-6.737700339,ATS0dv,LUMO,PEOE_VSA1,SpAbs_A,HOMO,FractionCSP3,Kappa1,SlogP_VSA1,Eads100,TPSA
18,22,23,3,100,0.1,0.997952396,-0.182277609,NumRotatableBonds,HOMO,ATS0dv,Kappa1,SpAbs_A,LogEE_A,MaxAbsPartialCharge,CT100,Eads100,TPSA
18,22,24,5,200,0.1,0.999999837,0.79408631,HOMO,ATS0dv,NumRotatableBonds,SpAbs_A,LogEE_A,Eads100,Kappa1,MolWt,CT100,LUMO
18,22,25,5,300,0.05,0.999991179,-0.205968208,ATS0dv,SpAbs_A,HOMO,NumRotatableBonds,Kappa1,LogEE_A,FractionCSP3,MolWt,Chi0,LabuteASA
18,22,26,5,300,0.05,0.999990808,-3.097771997,ATS0dv,HOMO,SpAbs_A,NumRotatableBonds,LabuteASA,Kappa1,Chi0,MolWt,LogEE_A,HeavyAtomMolWt
15,18,27,3,100,0.1,0.998340063,0.919363947,ATS0dv,SlogP_VSA1,HOMO,NumRotatableBonds,Kappa1,SpAbs_A,LogEE_A,Eads100,BalabanJ,TPSA
18,22,28,5,300,0.05,0.999991523,-0.001468296,SpAbs_A,ATS0dv,HOMO,NumRotatableBonds,LabuteASA,LogEE_A,MolWt,FractionCSP3,LUMO,Kappa1
18,22,29,5,100,0.1,0.99958406,0.164147481,NumRotatableBonds,HOMO,ATS0dv,Kappa1,LogEE_A,SpAbs_A,HeavyAtomMolWt,LabuteASA,MolWt,Eads100
18,23,24,5,300,0.01,0.531371096,0.746605468,Chi0,LUMO,HOMO,ATS0dv,FractionCSP3,Kappa1,Eads100,SlogP_VSA1,HeavyAtomMolWt,LogEE_A
18,23,25,3,300,0.01,0.564838593,-0.635540497,Chi0,ATS0dv,HOMO,LUMO,FractionCSP3,MolWt,LogEE_A,SpAbs_A,TPSA,Kappa1
18,23,26,3,100,0.1,0.998488306,0.40146493,NumRotatableBonds,HOMO,ATS0dv,SpAbs_A,LogEE_A,LabuteASA,CT100,MolWt,Kappa1,LUMO
6,18,27,7,100,0.05,0.951434725,0.876542851,ATS0dv,HOMO,Kappa1,SpAbs_A,FractionCSP3,LogEE_A,NumRotatableBonds,LUMO,Chi0,MolWt
18,23,28,3,100,0.1,0.998351682,-4.036411964,NumRotatableBonds,ATS0dv,HOMO,Kappa1,LogEE_A,SpAbs_A,LUMO,CT100,MolWt,BalabanJ
18,23,29,5,300,0.01,0.559031345,-0.56456368,LUMO,Chi0,ATS0dv,HOMO,Kappa1,FractionCSP3,MolWt,SpAbs_A,Eads100,LogEE_A
18,24,25,7,300,0.01,0.532520853,0.670348927,LUMO,HOMO,ATS0dv,Kappa1,TPSA,SpAbs_A,LogEE_A,FractionCSP3,CT100,MolWt
5,6,27,3,300,0.05,0.999912453,0.875093887,ATS0dv,NumRotatableBonds,MolWt,HOMO,Kappa1,LogEE_A,SpAbs_A,CT100,Chi0,Eads100
15,19,27,3,300,0.1,0.999999988,0.899806084,SlogP_VSA1,ATS0dv,SpAbs_A,HOMO,PEOE_VSA1,NumRotatableBonds,Kappa1,MolWt,LogEE_A,TPSA
18,24,28,7,200,0.1,0.999999889,0.731037563,Kappa1,HOMO,ATS0dv,SpAbs_A,LogEE_A,NumRotatableBonds,LUMO,BalabanJ,Eads100,SlogP_VSA1
18,24,29,7,300,0.01,0.518122194,0.651212557,Chi0,Eads100,FractionCSP3,HOMO,Kappa1,HeavyAtomMolWt,ATS0dv,MolWt,LUMO,TPSA
18,25,26,7,300,0.05,0.999992769,-0.041396986,HOMO,Kappa1,ATS0dv,SpAbs_A,NumRotatableBonds,MolWt,LogEE_A,FractionCSP3,LabuteASA,LUMO
18,25,27,7,300,0.01,0.543791895,0.688066217,ATS0dv,LUMO,Chi0,HOMO,FractionCSP3,Kappa1,TPSA,LogEE_A,SpAbs_A,CT100
18,25,28,7,300,0.01,0.560940354,-1.926939398,Chi0,ATS0dv,LUMO,HOMO,FractionCSP3,SpAbs_A,TPSA,LogEE_A,HeavyAtomMolWt,Kappa1
