TestDataID1,TestDataID2,TestDataID3,MaxDepth,NEstimators,MinSamplesSplit,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
6,7,19,5,100,2,0.873912549,-0.242237297,LUMO,HOMO,ATS0dv,CT100,TPSA,BalabanJ,MolWt,NumRotatableBonds,MaxAbsPartialCharge,Eads100
6,7,20,3,300,10,0.754906235,-0.04259159,HOMO,LUMO,ATS0dv,CT100,NumRotatableBonds,TPSA,MaxAbsPartialCharge,MinPartialCharge,MolWt,Eads100
6,7,21,3,300,10,0.794053661,-6.105830596,LUMO,ATS0dv,HOMO,Eads100,TPSA,CT100,MaxAbsPartialCharge,MinPartialCharge,MolWt,Kappa1
6,7,22,5,100,2,0.869909545,-0.360977578,HOMO,LUMO,CT100,ATS0dv,Eads100,TPSA,BalabanJ,MaxAbsPartialCharge,MinPartialCharge,LabuteASA
6,7,23,5,100,2,0.874788203,0.095292664,HOMO,LUMO,CT100,ATS0dv,MaxAbsPartialCharge,Eads100,MolWt,TPSA,BalabanJ,Chi0
6,7,24,7,200,5,0.827320758,0.43802082,HOMO,LUMO,CT100,ATS0dv,TPSA,MaxAbsPartialCharge,MolWt,Eads100,SpAbs_A,Kappa1
6,7,25,5,300,5,0.812830803,-0.04525091,HOMO,LUMO,ATS0dv,CT100,MaxAbsPartialCharge,NumRotatableBonds,BalabanJ,MolWt,MinPartialCharge,TPSA
6,7,26,7,200,2,0.875927728,-0.327699583,HOMO,LUMO,ATS0dv,CT100,TPSA,MaxAbsPartialCharge,MinPartialCharge,BalabanJ,MolWt,NumRotatableBonds
6,7,27,5,300,5,0.813323894,0.210022993,LUMO,HOMO,ATS0dv,CT100,NumRotatableBonds,MaxAbsPartialCharge,BalabanJ,TPSA,MinPartialCharge,Kappa1
6,7,28,3,300,5,0.765603678,-0.020522388,HOMO,LUMO,ATS0dv,CT100,NumRotatableBonds,MinPartialCharge,Kappa1,BalabanJ,MaxAbsPartialCharge,TPSA
6,7,29,3,100,5,0.775207714,0.27540777,LUMO,HOMO,CT100,ATS0dv,NumRotatableBonds,Eads100,BalabanJ,MaxAbsPartialCharge,Chi0,LabuteASA
6,8,9,3,200,10,0.723536635,-1.714736454,LUMO,HOMO,ATS0dv,CT100,NumRotatableBonds,MinPartialCharge,MolWt,MaxAbsPartialCharge,Eads100,BalabanJ
6,8,10,3,200,10,0.712012115,-21.50508648,LUMO,HOMO,ATS0dv,CT100,MolWt,MinPartialCharge,MaxAbsPartialCharge,Kappa1,Eads100,LabuteASA
6,8,11,7,300,2,0.870397297,0.301421314,LUMO,HOMO,ATS0dv,CT100,MaxAbsPartialCharge,BalabanJ,Eads100,NumRotatableBonds,MolWt,MinPartialCharge
6,8,12,5,100,2,0.879643585,-14.36965921,LUMO,HOMO,ATS0dv,CT100,LabuteASA,MolWt,BalabanJ,MaxAbsPartialCharge,MinPartialCharge,Eads100
6,8,13,3,200,5,0.788283038,-1.261982019,LUMO,HOMO,ATS0dv,CT100,LabuteASA,MaxAbsPartialCharge,MolWt,Kappa1,MinPartialCharge,BalabanJ
6,8,14,3,300,5,0.788868945,-66.99964712,LUMO,HOMO,ATS0dv,CT100,MolWt,BalabanJ,MaxAbsPartialCharge,LabuteASA,Kappa1,Eads100
6,8,15,3,100,2,0.811488478,0.372442898,HOMO,LUMO,ATS0dv,CT100,MolWt,BalabanJ,LabuteASA,SpAbs_A,Kappa1,MaxAbsPartialCharge
6,8,16,3,100,5,0.786680073,-1.347335571,LUMO,HOMO,ATS0dv,CT100,MolWt,Kappa1,LabuteASA,BalabanJ,MaxAbsPartialCharge,TPSA
6,8,17,3,300,2,0.807627271,0.079048613,LUMO,HOMO,ATS0dv,CT100,MaxAbsPartialCharge,MinPartialCharge,MolWt,BalabanJ,LabuteASA,NumRotatableBonds
6,8,18,3,100,2,0.81474128,-3.090974866,LUMO,HOMO,ATS0dv,CT100,MolWt,LabuteASA,Eads100,MaxAbsPartialCharge,SpAbs_A,MinPartialCharge
6,8,19,5,100,2,0.878136393,-24.94363757,LUMO,HOMO,ATS0dv,CT100,BalabanJ,Eads100,MolWt,LabuteASA,SpAbs_A,MinPartialCharge
6,8,20,3,300,10,0.741966908,-0.665810003,HOMO,LUMO,ATS0dv,CT100,NumRotatableBonds,MolWt,MaxAbsPartialCharge,Eads100,MinPartialCharge,Kappa1
6,8,21,3,300,10,0.786284056,-8.947997689,LUMO,ATS0dv,HOMO,Eads100,CT100,MaxAbsPartialCharge,MolWt,TPSA,MinPartialCharge,LabuteASA
